model_name,sample_index,channel,center_y,center_x,mean_radius_px,top_fraction,top_energy_ratio,plane_1_energy_ratio,plane_2_energy_ratio,figure_path
deep_residual_cnn,6,4,77.99757784077815,83.36435612815708,24.272834128487272,0.1,0.8142888550312235,0.5301764548191027,0.46982359841266935,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample6.png
deep_residual_cnn,6,5,76.96439003019776,78.87646956390009,24.831837704934376,0.1,0.765067328977447,0.5291472817737339,0.4708526827585175,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample6.png
deep_residual_cnn,6,6,76.6818027028827,78.06699777947667,24.045624030299795,0.1,0.778980549899307,0.5229149459457086,0.4770850847039111,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample6.png
deep_residual_cnn,7,1,78.95716026583,76.71234790464042,24.28614582169072,0.1,0.8054493664093341,0.5263058099818214,0.4736941486727015,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample7.png
deep_residual_cnn,7,2,76.87523467583183,77.90836850121839,23.964941723283832,0.1,0.7829910163601236,0.5248068125339326,0.4751931874660649,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample7.png
deep_residual_cnn,7,3,76.8202615429522,80.57022094777916,23.724325549262474,0.1,0.7836558587712885,0.5175398122905112,0.48246018770948584,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample7.png
deep_residual_cnn,7,4,79.25847644574176,76.51704109485759,24.088427810826232,0.1,0.7992039365272898,0.5261316042807742,0.47386839571922296,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample7.png
deep_residual_cnn,7,5,76.93418566202743,78.62603412103248,24.117679874555925,0.1,0.781843384158051,0.5243619526675226,0.47563808634961735,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample7.png
deep_residual_cnn,7,6,76.21211509937721,80.23860365956548,23.642052372158997,0.1,0.7806236947328004,0.5168628131035589,0.48313718689643803,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample7.png
deep_residual_cnn,8,1,78.19034081733099,77.36202111016362,23.71700488845254,0.1,0.7987250775106003,0.5233409723392256,0.4766590667709802,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample8.png
deep_residual_cnn,8,2,76.41847156971315,77.4334983056516,22.534764916528218,0.1,0.8069466774323382,0.5218119243320035,0.478188075667993,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample8.png
