sample_index,state,main_lobe_ratio,total_energy,main_lobe_energy,peak_intensity
75,baseline_compensated,0.5449557317700382,119949215.9439911,65367012.75,8760120.0
75,physics_compensated,0.5497103223493709,120028057.17383945,65980662.0,8981557.0
75,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
76,before,0.2624733322291862,115984004.05384782,30442708.029296875,2961205.25
76,baseline_compensated,0.5133366521964393,119329347.1793687,61256127.58984375,6875249.0
76,physics_compensated,0.5457964093907808,119819497.44216752,65397051.47894287,8009520.5
76,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
77,before,0.322716628195342,116645114.59827098,37643318.07861328,5127204.0
77,baseline_compensated,0.5149116938407019,119521085.6317884,61542804.65234375,7787551.0
77,physics_compensated,0.516457755773152,119596753.3105075,61766670.8125,8164311.5
77,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
78,before,0.31142756425373785,116455668.45947453,36267505.171875,3440728.0
78,baseline_compensated,0.5228467022123293,119574937.5506929,62519361.765625,7739179.0
78,physics_compensated,0.5174107022494899,119506570.73514554,61833978.6875,7612442.0
78,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
79,before,0.25244634354594164,115947864.54864532,29270614.447265625,5699894.0
79,baseline_compensated,0.6138451207252136,121075854.756134,74321822.6796875,11715203.0
79,physics_compensated,0.6178412337086049,121120600.63400711,74833301.32324219,11750469.0
79,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
80,before,0.3729081690755055,117035912.45738988,43643647.830566406,7491952.0
80,baseline_compensated,0.5864660680316891,120602509.41753906,70729279.49285889,10442283.0
80,physics_compensated,0.5937994087455816,120681101.71596116,71660366.84570312,10482883.0
80,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
81,before,0.30712363911102436,116523644.68089035,35787165.796875,5128786.5
81,baseline_compensated,0.5294248837868986,120073756.39889953,63570034.52734375,10445802.0
81,physics_compensated,0.5288104225391511,120059778.99989319,63488862.462890625,10394680.0
81,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
82,before,0.3396825103521988,116765435.79588768,39663176.353515625,4757264.5
82,baseline_compensated,0.4153948747793305,118077682.66082036,49048864.203125,4508720.5
82,physics_compensated,0.4266411112234876,118211014.22720444,50433678.46875,4697120.5
82,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
83,before,0.44698399950816,117956549.31643274,52724690.181640625,4723564.0
83,baseline_compensated,0.5114685177389485,119304215.721337,61020350.375,6741771.5
83,physics_compensated,0.5102969761762158,119345055.51938546,60901420.953125,7043670.5
83,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
84,before,0.4270811731210166,117716245.6442692,50274392.28515625,4850778.5
84,baseline_compensated,0.3800321551558254,117545359.22623691,44671016.1953125,3996158.25
84,physics_compensated,0.42060483838811,117961057.23415533,49614991.4140625,6376713.5
84,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
85,before,0.268611521156349,116133289.07218759,31194739.434570312,3701498.75
85,baseline_compensated,0.5945611615253742,120800162.96033025,71823085.20214844,11131361.0
85,physics_compensated,0.5812433744572545,120531338.85683918,70058042.125,10247150.0
85,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
86,before,0.24038589134088942,115878993.19309188,27855675.06640625,5246520.0
86,baseline_compensated,0.6097706457605253,121026307.9891603,73798289.9765625,11635992.0
86,physics_compensated,0.6088782177213049,120992426.59427832,73669653.0625,11482460.0
86,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
87,before,0.3843661970869066,117330568.05821358,45097904.24658203,4001943.0
87,baseline_compensated,0.4491244597486686,118322669.00408557,53141604.79248047,5510856.0
87,physics_compensated,0.4404901480902798,118212875.60637796,52071607.08203125,5103837.5
87,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
