sample_index,state,strehl_ratio,peak_intensity,ideal_peak_intensity,phase_rmse_rad
49,baseline_compensated,0.7841235733364381,10021231.0,12780168.0,0.5573803186416626
49,physics_compensated,0.8119587316849043,10376969.0,12780168.0,0.5206610560417175
49,ideal,1.0,12780168.0,12780168.0,0.0
50,before,0.4891981858141458,6252035.0,12780168.0,1.8502726554870605
50,baseline_compensated,0.6558428261662914,8381781.5,12780168.0,0.8227592706680298
50,physics_compensated,0.668337849705888,8541470.0,12780168.0,0.8277992010116577
50,ideal,1.0,12780168.0,12780168.0,0.0
51,before,0.4081072330191591,5215679.0,12780168.0,1.9629405736923218
51,baseline_compensated,0.8143492323418596,10407520.0,12780168.0,0.4870273470878601
51,physics_compensated,0.8259587823884631,10555892.0,12780168.0,0.4703614413738251
51,ideal,1.0,12780168.0,12780168.0,0.0
52,before,0.5233799352246387,6688883.5,12780168.0,1.409409523010254
52,baseline_compensated,0.5375668770551373,6870195.0,12780168.0,1.1200908422470093
52,physics_compensated,0.5142174187381574,6571785.0,12780168.0,1.1314976215362549
52,ideal,1.0,12780168.0,12780168.0,0.0
53,before,0.26152087750333175,3342280.75,12780168.0,1.7657139301300049
53,baseline_compensated,0.8988985903784676,11488075.0,12780168.0,0.3792235255241394
53,physics_compensated,0.9133280564073962,11672486.0,12780168.0,0.3387519121170044
53,ideal,1.0,12780168.0,12780168.0,0.0
54,before,0.543204479002154,6942244.5,12780168.0,1.4333986043930054
54,baseline_compensated,0.8543372043309603,10918573.0,12780168.0,0.6390010714530945
54,physics_compensated,0.877195902276089,11210711.0,12780168.0,0.5660435557365417
54,ideal,1.0,12780168.0,12780168.0,0.0
55,before,0.398550238150234,5093539.0,12780168.0,1.3706539869308472
55,baseline_compensated,0.703818995180658,8994925.0,12780168.0,0.9139044284820557
55,physics_compensated,0.740119848189789,9458856.0,12780168.0,0.8464850783348083
55,ideal,1.0,12780168.0,12780168.0,0.0
56,before,0.2741205945023571,3503307.25,12780168.0,2.045480966567993
56,baseline_compensated,0.5618708220424019,7180803.5,12780168.0,0.864730954170227
56,physics_compensated,0.45725134442677123,5843749.0,12780168.0,0.951984167098999
56,ideal,1.0,12780168.0,12780168.0,0.0
57,before,0.2774730934679419,3546152.75,12780168.0,2.1099400520324707
57,baseline_compensated,0.6474515045498619,8274539.0,12780168.0,0.8475247621536255
57,physics_compensated,0.6529283496116796,8344534.0,12780168.0,0.8361537456512451
57,ideal,1.0,12780168.0,12780168.0,0.0
58,before,0.33748331790317626,4313093.5,12780168.0,1.6729793548583984
58,baseline_compensated,0.4713750633012023,6024252.5,12780168.0,1.1841200590133667
58,physics_compensated,0.46732206493686157,5972454.5,12780168.0,1.243456244468689
58,ideal,1.0,12780168.0,12780168.0,0.0
59,before,0.2738543225722854,3499904.25,12780168.0,1.4093979597091675
59,baseline_compensated,0.6002480170839695,7671270.5,12780168.0,1.0043282508850098
59,physics_compensated,0.6738273706574124,8611627.0,12780168.0,0.8716275691986084
59,ideal,1.0,12780168.0,12780168.0,0.0
60,before,0.29076037967576013,3715966.5,12780168.0,1.80739164352417
60,baseline_compensated,0.29704983142631614,3796346.75,12780168.0,1.1329448223114014
60,physics_compensated,0.3570809476056966,4563554.5,12780168.0,1.3007317781448364
60,ideal,1.0,12780168.0,12780168.0,0.0
61,before,0.6518805151857159,8331142.5,12780168.0,0.8204016089439392
61,baseline_compensated,0.8168111718093221,10438984.0,12780168.0,0.4866556227207184
61,physics_compensated,0.8611385233746536,11005495.0,12780168.0,0.41607150435447693
61,ideal,1.0,12780168.0,12780168.0,0.0
62,before,0.2785832314567383,3560340.5,12780168.0,1.8970867395401
62,baseline_compensated,0.5892668625326365,7530929.5,12780168.0,1.1211252212524414
62,physics_compensated,0.7348877573440349,9391989.0,12780168.0,0.9229766726493835
62,ideal,1.0,12780168.0,12780168.0,0.0
63,before,0.40155614542782225,5131955.0,12780168.0,2.0570030212402344
63,baseline_compensated,0.8159011681223596,10427354.0,12780168.0,0.4914783835411072
63,physics_compensated,0.7676411608986674,9810583.0,12780168.0,0.5550361275672913
63,ideal,1.0,12780168.0,12780168.0,0.0
64,before,0.2553421637336849,3263315.75,12780168.0,1.608987808227539
